City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
New Norfolk,AU,64.9,broken clouds,-42.7826,147.0587,Woodbridge on the Derwent
Hobart,AU,65.26,broken clouds,-42.8794,147.3294,Vibe Hotel Hobart
Castro,BR,55.31,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
Bredasdorp,ZA,60.22,overcast clouds,-34.5322,20.0403,Victoria Hotel
Abu Dhabi,AE,68.11,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
Jamestown,US,50.02,overcast clouds,42.097,-79.2353,DoubleTree Jamestown
Alvinopolis,BR,68.29,overcast clouds,-20.1067,-43.0489,Hotel Nardy
Cape Town,ZA,61.21,broken clouds,-33.9258,18.4232,Townhouse Hotel
Kamariotissa,GR,52.03,overcast clouds,40.4833,25.4667,Atzanou rooms
Guerrero Negro,MX,61.11,clear sky,27.9769,-114.0611,Plaza sal paraiso
Plettenberg Bay,ZA,59.86,moderate rain,-34.0527,23.3716,Milkwood Manor
Hermanus,ZA,56.8,overcast clouds,-34.4187,19.2345,Aloe guest house
Grootfontein,,62.17,overcast clouds,-19.5667,18.1167,Meteor Travel Inn
Te Anau,NZ,63.43,light rain,-45.4167,167.7167,Lakeside Motels & Apartments
Camacha,PT,56.62,few clouds,33.0833,-16.3333,Praia Dourada
Laguna,US,64.38,overcast clouds,38.421,-121.4238,Holiday Inn Express & Suites
Margate,GB,51.12,overcast clouds,51.3813,1.3862,The Reading Rooms
Fortuna,US,54.66,heavy intensity rain,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
Eureka,US,54.93,heavy intensity rain,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
Victoria,HK,68.05,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
Constitucion,CL,57.0,scattered clouds,-35.3333,-72.4167,Hostal Alameda
Malanje,AO,64.24,moderate rain,-9.5402,16.341,dom Fausto
Mecca,SA,66.51,broken clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
Lagoa,PT,58.23,broken clouds,39.05,-27.9833,Casa da Madrinha
Olavarria,AR,68.2,clear sky,-36.8927,-60.3225,Santa Rosa Hotel
Chuy,UY,64.22,clear sky,-33.6971,-53.4616,Alerces
Ancud,CL,55.17,clear sky,-41.8697,-73.8203,Cabañas
Mount Gambier,AU,69.31,clear sky,-37.8333,140.7667,The Old Mount Gambier Gaol
Sulphur,US,59.0,clear sky,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
San Quintin,MX,59.11,scattered clouds,30.4833,-115.95,Jardines Hotel
Sterling,US,62.71,few clouds,39.0062,-77.4286,Residence Inn by Marriott Dulles Airport at Dulles 28 Centre
Luderitz,,61.9,clear sky,-26.6481,15.1594,Seaview Hotel Zum Sperrgebiet
Muros,ES,51.1,scattered clouds,42.7762,-9.0603,Pensión Ría de Muros
Port Elizabeth,ZA,63.32,light rain,-33.918,25.5701,Waterford Hotel
Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel Iberia
San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Terra Sur
Saldanha,ZA,60.85,few clouds,-33.0117,17.9442,Hoedjesbaai
Eenhana,,64.63,overcast clouds,-17.4667,16.3333,Monte Carlo Guesthouse
Shenzhen,CN,67.95,overcast clouds,22.5455,114.0683,Shenzhen International Elite Hotel
Rosita,NI,69.73,clear sky,13.9268,-84.4032,Hotel Ensueño
Paita,PE,68.31,overcast clouds,-5.0892,-81.1144,Victor's
Vila Franca Do Campo,PT,61.21,light rain,37.7167,-25.4333,Vinha d'Areia Beach Hotel
Liuzhou,CN,61.0,overcast clouds,24.3126,109.3892,南疆宾馆
Lowestoft,GB,51.42,broken clouds,52.4752,1.7516,Wherry Hotel
Ponta Do Sol,PT,61.72,clear sky,32.6667,-17.1,Estalagem Ponta do Sol
Nishihara,JP,67.28,scattered clouds,26.1842,127.7558,ユインチホテル南城
Sao Carlos,BR,65.55,overcast clouds,-22.0175,-47.8908,Hotel Acácio
Pobe,BJ,68.99,broken clouds,6.9801,2.6649,Ciné variété
Ajdabiya,LY,62.37,overcast clouds,30.7554,20.2263,فندق المدينة
Bethel,US,53.38,mist,41.3712,-73.414,Hampton Inn Danbury
Kousseri,CM,66.16,dust,12.0769,15.0306,Hôtel le CONFORT FREDI
Port Lincoln,AU,66.58,broken clouds,-34.7333,135.8667,Boston Hotel
Rovigo,IT,51.01,overcast clouds,45.08,11.793,Best Western Cristallo
Haverfordwest,GB,54.57,overcast clouds,51.8017,-4.9691,County Hotel
Atar,MR,62.96,broken clouds,20.5169,-13.0499,فندق سكليل
Carballo,ES,53.87,clear sky,43.213,-8.691,Hotel Balneario de Carballo
Clifton,US,60.21,mist,40.8584,-74.1638,La Quinta Inn & Suites Clifton - Rutherford
Freeport,US,56.37,mist,40.6576,-73.5832,The Freeport Inn and Marina
Cholet,FR,54.64,overcast clouds,47.1667,-1.0,Le Logis d'Elbée
Rocha,UY,54.55,clear sky,-34.4833,-54.3333,Hotel Municipal
Liverpool,GB,51.1,broken clouds,53.4106,-2.9779,The Lord Nelson Hotel
Lisieux,FR,53.11,overcast clouds,49.1667,0.1667,Manoir de l'Évêché
Henties Bay,,62.85,broken clouds,-22.116,14.2845,Huis Klipdrift
Pahrump,US,52.95,scattered clouds,36.2083,-115.9839,Holiday Inn Express & Suites
Pisco,PE,69.85,clear sky,-13.7,-76.2167,La Portada
Lompoc,US,59.14,overcast clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
Aswan,EG,51.1,clear sky,24.0934,32.907,Yaseen hotel
Ponta Delgada,PT,61.52,light rain,37.7333,-25.6667,Hotel Talisman
Knysna,ZA,60.37,moderate rain,-34.0363,23.0471,Graywood Hotel
Mbalmayo,CM,66.52,light rain,3.5167,11.5,Hôtel Relais
Yichang,CN,55.63,few clouds,30.7144,111.2847,Luck 7 Inn Yichang CBD
Sechura,PE,68.41,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
Ulladulla,AU,67.82,scattered clouds,-35.35,150.4667,Hotel Marlin
Soroti,UG,64.45,few clouds,1.7146,33.6111,Paradise Hotel
La Estancia,MX,63.82,clear sky,20.4167,-100.0667,Mision San Gil
Aguimes,ES,65.66,few clouds,27.9054,-15.4461,Hotel Villa de Agüimes
Batemans Bay,AU,67.1,few clouds,-35.7167,150.1833,Esplanade Hotel
Nizwa,OM,59.2,clear sky,22.9333,57.5333,Nizwa Heritage Inn
Birin,NP,52.36,clear sky,26.8865,88.0718,Sun Hotel and Lodge
Pacific Grove,US,58.66,heavy intensity rain,36.6177,-121.9166,Pacific Grove Inn
Redlands,US,59.2,broken clouds,34.0556,-117.1825,Ayres Hotel Redlands
Mao,ES,50.56,clear sky,39.8885,4.2658,Eurohotel
Antofagasta,CL,67.28,clear sky,-23.65,-70.4,Hotel Colón
Victor Harbor,AU,69.67,clear sky,-35.5667,138.6167,Hotel Victor
Safaga,EG,62.28,clear sky,26.7292,33.9365,Dolphin Hotel
Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
Clarksburg,US,58.3,few clouds,39.2807,-80.3445,Parsons Hotel
Westport,US,55.11,overcast clouds,41.1415,-73.3579,Norwalk Inn and Conference Center
Tocopilla,CL,68.85,clear sky,-22.092,-70.1979,hotel Isidora
Taltal,CL,64.98,clear sky,-25.4,-70.4833,Hostería Taltal
Wilmington,US,66.11,clear sky,34.2257,-77.9447,Hell's Kitchen
Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,アートホテル石垣島
Jalu,LY,53.65,clear sky,29.0331,21.5482,فندق جالو السياحي
Kamarion,GR,57.09,clear sky,36.8,25.8167,Eleni
Pascagoula,US,59.04,clear sky,30.3658,-88.5561,Grand Magnolia
Pecos,US,56.3,clear sky,31.4229,-103.4932,Holiday Inn Express & Suites Pecos
Cidreira,BR,69.42,clear sky,-30.1811,-50.2056,Hotel Castelo
Maltahohe,,63.95,broken clouds,-24.8333,16.9833,Maltahöhe Hotel
Rio Gallegos,AR,50.05,light rain,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
Biltine,TD,62.06,scattered clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
Chimbote,PE,68.34,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
Atherton,GB,51.3,overcast clouds,53.5237,-2.4935,Britannia Hotel
Yazman,PK,51.64,clear sky,29.1212,71.7446,Yazman Banquet Marriage Hall
Naze,JP,59.92,clear sky,28.3667,129.4833,ビジネス旅館畠山
Harrison,US,59.05,clear sky,30.4091,-89.0436,Residence Inn
Marsabit,KE,63.37,broken clouds,2.3284,37.9899,Chicho Hotel
Burnie,AU,63.95,broken clouds,-41.0667,145.9167,Burnie Central TownHouse Hotel
Macas,EC,67.01,light rain,-2.3167,-78.1167,Nivel 5
Bone,DE,50.25,overcast clouds,51.9669,12.1396,von Rephuns Garten
Keetmanshoop,,57.34,scattered clouds,-26.5833,18.1333,Canyon Hotel
Walvis Bay,,64.09,scattered clouds,-22.9575,14.5053,Atlantic
Porto Belo,BR,67.95,scattered clouds,-27.1578,-48.5531,Residencial Maravilha
Rabo De Peixe,PT,60.31,light rain,37.8,-25.5833,Pico do Refugio
