,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.62,77,98,14.23,light rain
1,Uyovu,TZ,-3.2833,31.5258,63.77,88,84,1.39,light rain
2,New Norfolk,AU,-42.7826,147.0587,64.9,53,56,5.01,broken clouds
3,Hobart,AU,-42.8794,147.3294,65.26,82,75,13.8,broken clouds
4,Aitape,PG,-3.1374,142.3475,85.41,68,71,8.55,broken clouds
5,Talnakh,RU,69.4865,88.3972,-34.8,97,46,1.3,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,61,0,3.44,light rain
7,Albany,US,42.6001,-73.9662,40.95,93,100,2.19,overcast clouds
8,Qaanaaq,GL,77.484,-69.3632,-17.63,85,100,5.17,overcast clouds
9,Vestmanna,FO,62.1564,-7.1664,34.72,87,100,1.14,overcast clouds
10,Luanda,AO,-8.8368,13.2343,78.8,89,75,1.14,broken clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,47,3.0,scattered clouds
12,Castro,BR,-24.7911,-50.0119,55.31,96,100,3.87,overcast clouds
13,Korla,CN,41.7597,86.1469,21.87,47,97,4.41,overcast clouds
14,Bandarbeyla,SO,9.4942,50.8122,74.5,77,58,13.18,broken clouds
15,Avarua,CK,-21.2078,-159.775,82.45,61,40,6.91,scattered clouds
16,Mataura,NZ,-46.1927,168.8643,73.06,62,99,2.39,overcast clouds
17,Yellowknife,CA,62.456,-114.3525,-12.62,100,26,2.08,scattered clouds
18,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,4.61,overcast clouds
19,Esperance,AU,-33.8667,121.9,73.26,50,1,17.94,clear sky
20,Bredasdorp,ZA,-34.5322,20.0403,60.22,61,100,10.16,overcast clouds
21,Abu Dhabi,AE,24.4667,54.3667,68.11,62,0,4.61,clear sky
22,Saint-Pierre,RE,-21.3393,55.4781,79.57,64,23,4.61,few clouds
23,Saskylakh,RU,71.9167,114.0833,-49.31,100,94,1.74,overcast clouds
24,Iranshahr,IR,27.2025,60.6848,48.54,37,0,9.22,clear sky
25,Geraldton,AU,-28.7667,114.6,102.61,10,1,21.85,clear sky
26,Dikson,RU,73.5069,80.5464,-15.23,99,100,1.83,overcast clouds
27,Jamestown,US,42.097,-79.2353,50.02,71,100,17.27,overcast clouds
28,East London,ZA,-33.0153,27.9116,66.88,90,100,9.17,moderate rain
29,Dongsheng,CN,39.8161,109.9776,23.65,31,1,8.08,clear sky
30,Alvinopolis,BR,-20.1067,-43.0489,68.29,97,100,3.11,overcast clouds
31,Bengkulu,ID,-3.8004,102.2655,79.79,74,94,4.9,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,61.21,73,75,19.57,broken clouds
33,Korsor,DK,55.3299,11.1386,43.99,100,100,32.57,light rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,73.54,94,100,9.42,overcast clouds
35,Aden,YE,12.7794,45.0367,77.02,76,16,14.67,light rain
36,Airai,TL,-8.9266,125.4092,74.12,58,91,5.68,overcast clouds
37,Lodwar,KE,3.1191,35.5973,75.29,48,0,2.51,clear sky
38,Kaeo,NZ,-35.1,173.7833,71.33,98,93,10.8,overcast clouds
39,Kamariotissa,GR,40.4833,25.4667,52.03,77,99,12.95,overcast clouds
40,Guerrero Negro,MX,27.9769,-114.0611,61.11,76,7,8.28,clear sky
41,Hofn,IS,64.2539,-15.2082,32.23,86,97,9.71,overcast clouds
42,Remedios,CU,22.4947,-79.5458,74.32,81,0,11.63,clear sky
43,Norman Wells,CA,65.282,-126.8329,-12.96,77,20,9.22,few clouds
44,Plettenberg Bay,ZA,-34.0527,23.3716,59.86,91,100,7.0,moderate rain
45,Hermanus,ZA,-34.4187,19.2345,56.8,65,100,13.76,overcast clouds
46,Letpadan,MM,17.7833,95.75,77.81,46,1,10.49,clear sky
47,Barrow,US,71.2906,-156.7887,3.22,85,100,13.8,mist
48,Hamilton,US,39.1834,-84.5333,46.09,76,0,6.91,clear sky
49,Busselton,AU,-33.65,115.3333,82.98,37,0,10.69,clear sky
50,Ledyard,US,41.4398,-72.0142,50.18,95,100,10.36,overcast clouds
51,Grootfontein,NA,-19.5667,18.1167,62.17,88,100,2.3,overcast clouds
52,Terrace Bay,CA,48.7834,-87.1,9.72,81,99,19.37,overcast clouds
53,Slave Lake,CA,55.2834,-114.769,3.18,85,0,0.0,clear sky
54,Bathsheba,BB,13.2167,-59.5167,77.61,83,75,20.71,light rain
55,Ventspils,LV,57.3894,21.5606,31.93,100,100,12.66,light snow
56,Punta Arenas,CL,-53.15,-70.9167,46.51,87,100,13.8,light rain
57,Te Anau,NZ,-45.4167,167.7167,63.43,80,100,1.54,light rain
58,Camacha,PT,33.0833,-16.3333,56.62,72,20,4.61,few clouds
59,Iqaluit,CA,63.7506,-68.5145,-11.47,77,100,29.93,light snow
60,Laguna,US,38.421,-121.4238,64.38,71,100,24.16,overcast clouds
61,Pangnirtung,CA,66.1451,-65.7125,2.53,89,100,3.78,overcast clouds
62,Ribeira Grande,PT,38.5167,-28.7,57.78,81,20,4.0,few clouds
63,Tandil,AR,-37.3217,-59.1332,71.69,43,16,7.45,few clouds
64,Itarema,BR,-2.9248,-39.9167,79.47,75,35,15.99,scattered clouds
65,Najran,SA,17.4924,44.1277,57.85,48,30,7.09,scattered clouds
66,Kavieng,PG,-2.5744,150.7967,84.42,69,42,6.24,scattered clouds
67,Vostok,RU,46.4856,135.8833,4.69,82,50,5.32,scattered clouds
68,Jeremoabo,BR,-10.075,-38.4808,70.66,91,64,7.23,broken clouds
69,Khatanga,RU,71.9667,102.5,-47.33,100,95,2.59,overcast clouds
70,Komsomolskiy,UZ,40.4272,71.7189,30.92,86,7,6.91,mist
71,Aklavik,CA,68.2191,-135.0107,-15.03,100,94,2.26,overcast clouds
72,Margate,GB,51.3813,1.3862,51.12,85,100,4.0,overcast clouds
73,Fortuna,US,40.5982,-124.1573,54.66,95,100,23.02,heavy intensity rain
74,Port Alfred,ZA,-33.5906,26.891,64.18,91,100,9.48,moderate rain
75,Tessalit,ML,20.1986,1.0114,59.94,27,99,10.33,overcast clouds
76,Bluff,NZ,-46.6,168.3333,60.37,90,100,5.88,moderate rain
77,Pevek,RU,69.7008,170.3133,-30.05,95,100,5.46,overcast clouds
78,Provideniya,RU,64.3833,-173.3,2.28,93,100,7.74,overcast clouds
79,Hasaki,JP,35.7333,140.8333,46.8,32,0,14.7,clear sky
80,Pine Bluff,US,34.2284,-92.0032,48.13,72,0,3.44,clear sky
81,Waddan,LY,29.1614,16.139,53.37,66,52,5.41,broken clouds
82,Upernavik,GL,72.7868,-56.1549,-21.05,84,25,10.63,scattered clouds
83,Mandurah,AU,-32.55,115.7,90.88,35,0,10.02,clear sky
84,Weyburn,CA,49.6668,-103.8511,-0.18,78,77,6.91,broken clouds
85,Gao,ML,16.6362,1.637,60.64,23,5,12.24,clear sky
86,Nikolskoye,RU,59.7035,30.7861,13.78,93,88,5.7,light snow
87,Bilma,NE,18.6853,12.9164,55.85,36,69,8.03,broken clouds
88,Namibe,AO,-15.1961,12.1522,72.01,78,28,8.37,scattered clouds
89,Sao Filipe,CV,14.8961,-24.4956,74.55,69,100,7.02,overcast clouds
90,Port Hedland,AU,-20.3167,118.5667,104.05,14,99,18.41,overcast clouds
91,Benguela,AO,-12.5763,13.4055,76.66,85,100,1.99,overcast clouds
92,Alanya,TR,36.5438,31.9998,44.73,26,0,6.15,clear sky
93,Alice Springs,AU,-23.7,133.8833,78.35,50,100,14.97,overcast clouds
94,Paamiut,GL,61.994,-49.6678,27.54,81,100,29.46,light snow
95,Vaitape,PF,-16.5167,-151.75,81.5,74,76,13.62,light rain
96,Faya,SA,18.3851,42.4509,54.12,48,7,5.32,clear sky
97,Eureka,US,40.8021,-124.1637,54.93,91,100,11.01,heavy intensity rain
98,Sinnamary,GF,5.3833,-52.95,75.94,90,100,11.23,light rain
99,Aqtobe,KZ,50.2797,57.2072,33.89,93,100,13.42,overcast clouds
100,Kahului,US,20.8947,-156.47,76.96,88,40,14.97,light rain
101,Sept-Iles,CA,50.2001,-66.3821,6.8,56,0,9.22,clear sky
102,Hilo,US,19.7297,-155.09,76.73,84,100,5.75,light rain
103,Kapaa,US,22.0752,-159.319,78.78,86,75,9.22,broken clouds
104,Lebu,CL,-37.6167,-73.65,58.19,93,99,15.37,overcast clouds
105,Victoria,HK,22.2855,114.1577,68.05,78,100,8.01,overcast clouds
106,Yarada,IN,17.65,83.2667,75.52,73,75,6.91,mist
107,Katsuura,JP,35.1333,140.3,46.51,37,6,9.46,clear sky
108,Broken Hill,AU,-31.95,141.4333,76.37,23,0,18.16,clear sky
109,Constitucion,CL,-35.3333,-72.4167,57.0,89,49,6.49,scattered clouds
110,Malanje,AO,-9.5402,16.341,64.24,99,100,5.23,moderate rain
111,Taoudenni,ML,22.6783,-3.9836,60.22,19,4,10.87,clear sky
112,Qaqortoq,GL,60.7167,-46.0333,23.61,62,100,17.72,overcast clouds
113,Chokurdakh,RU,70.6333,147.9167,-48.64,100,63,1.3,broken clouds
114,Macomer,IT,40.262,8.7699,42.67,92,0,1.74,clear sky
115,Uravakonda,IN,14.95,77.2667,70.25,78,5,13.11,clear sky
116,Lavrentiya,RU,65.5833,-171.0,0.32,94,99,5.44,overcast clouds
117,Torbay,CA,47.6666,-52.7314,38.57,95,100,16.11,light rain
118,Shubarshi,KZ,48.5872,57.1869,30.22,95,100,6.73,overcast clouds
119,Antsohihy,MG,-14.8796,47.9875,73.18,90,82,3.06,broken clouds
120,Mecca,SA,21.4267,39.8261,66.51,65,82,6.53,broken clouds
121,Kutum,SD,14.2,24.6667,52.68,37,10,8.37,clear sky
122,Lagoa,PT,39.05,-27.9833,58.23,74,52,17.47,broken clouds
123,Tiksi,RU,71.6872,128.8694,-30.21,100,98,1.07,overcast clouds
124,Hithadhoo,MV,-0.6,73.0833,81.32,63,11,10.13,few clouds
125,Salalah,OM,17.0151,54.0924,71.69,83,20,2.3,few clouds
126,Olavarria,AR,-36.8927,-60.3225,68.2,38,6,8.39,clear sky
127,Takoradi,GH,4.8845,-1.7554,77.74,80,44,4.65,scattered clouds
128,Chuy,UY,-33.6971,-53.4616,64.22,64,2,8.21,clear sky
129,Tasiilaq,GL,65.6145,-37.6368,8.76,65,100,5.95,overcast clouds
130,Narsaq,GL,60.9167,-46.05,32.22,65,100,15.82,overcast clouds
131,Saint George,US,37.1041,-113.5841,44.44,83,100,3.44,overcast clouds
132,Naryan-Mar,RU,67.6713,53.087,-5.17,96,100,16.89,light snow
133,Mar Del Plata,AR,-38.0023,-57.5575,72.09,43,0,16.11,light rain
134,Loandjili,CG,-4.7561,11.8578,76.91,88,90,7.25,light rain
135,Namatanai,PG,-3.6667,152.4333,85.77,66,68,6.98,broken clouds
136,Xai-Xai,MZ,-25.0519,33.6442,74.98,87,97,4.65,light rain
137,Yenagoa,NG,4.9247,6.2642,74.61,86,60,2.46,broken clouds
138,Ust-Tsilma,RU,65.441,52.1498,-1.46,98,98,4.32,overcast clouds
139,Mahebourg,MU,-20.4081,57.7,75.49,88,75,5.75,light rain
140,La Presa,US,32.7081,-116.9973,61.59,91,100,8.05,mist
141,Sampang,ID,-7.1872,113.2394,81.93,75,100,15.03,overcast clouds
142,Zhezkazgan,KZ,47.8043,67.7144,33.78,93,100,20.13,drizzle
143,Itamaraju,BR,-17.0392,-39.5311,71.76,97,100,4.61,overcast clouds
144,Hazro,PK,33.9091,72.4921,42.73,26,0,2.62,clear sky
145,Ancud,CL,-41.8697,-73.8203,55.17,94,1,0.67,clear sky
146,Mount Gambier,AU,-37.8333,140.7667,69.31,47,3,12.59,clear sky
147,Maumere,ID,-8.6199,122.2111,82.96,78,79,11.12,broken clouds
148,Maromitsa,RU,59.8683,48.0123,-7.58,99,100,3.96,overcast clouds
149,Roura,GF,4.7263,-52.3274,75.11,94,75,2.3,light rain
150,Byron Bay,AU,-28.65,153.6167,78.71,78,100,2.73,light rain
151,Aasiaat,GL,68.7098,-52.8699,-14.06,93,66,7.85,broken clouds
152,Fort Nelson,CA,58.8053,-122.7002,-0.81,85,0,3.44,clear sky
153,Vostochnyy,RU,55.8167,37.8667,26.87,95,98,6.35,overcast clouds
154,Mackay,AU,-21.15,149.2,92.68,66,52,11.16,broken clouds
155,Moreira Sales,BR,-24.0622,-53.0069,62.6,82,87,5.99,overcast clouds
156,Julio De Castilhos,BR,-29.2269,-53.6817,66.96,37,2,3.24,clear sky
157,Berlevag,NO,70.8578,29.0864,23.0,93,75,6.91,light snow
158,College,US,64.8569,-147.8028,-0.08,79,75,4.61,broken clouds
159,Majene,ID,-3.5403,118.9707,82.94,70,100,3.85,overcast clouds
160,Vestmannaeyjar,IS,63.4427,-20.2734,28.31,75,99,13.22,overcast clouds
161,Longyearbyen,SJ,78.2186,15.6401,30.04,93,75,13.8,light shower snow
162,Lasa,IT,46.6166,10.7002,44.35,68,100,5.55,overcast clouds
163,Honiara,SB,-9.4333,159.95,79.32,90,85,9.08,moderate rain
164,Vizinga,RU,61.0749,50.1031,-10.41,99,100,1.88,overcast clouds
165,Tual,ID,-5.6667,132.75,83.71,77,77,17.96,broken clouds
166,Sitka,US,57.0531,-135.33,42.69,81,100,6.91,light rain
167,Los Aquijes,PE,-14.0967,-75.6908,70.63,70,82,2.42,broken clouds
168,Celestun,MX,20.8667,-90.4,75.87,87,19,11.34,few clouds
169,Meulaboh,ID,4.1363,96.1285,80.56,76,100,1.48,overcast clouds
170,Nijar,ES,36.9665,-2.206,49.64,82,0,9.22,clear sky
171,Killybegs,IE,54.6333,-8.45,46.94,92,100,10.51,overcast clouds
172,Sulphur,US,30.2366,-93.3774,59.0,71,0,5.75,clear sky
173,Codrington,AU,-38.2667,141.9667,66.76,55,44,15.43,scattered clouds
174,San Quintin,MX,30.4833,-115.95,59.11,85,35,0.94,scattered clouds
175,At-Bashi,KG,41.1702,75.8106,10.4,72,28,4.12,scattered clouds
176,Tabas,IR,33.5959,56.9244,39.42,35,100,0.0,overcast clouds
177,Coralville,US,41.6764,-91.5805,32.23,85,100,10.36,overcast clouds
178,Denpasar,ID,-8.65,115.2167,85.71,74,40,24.16,scattered clouds
179,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,6.91,light snow
180,Tecoanapa,MX,16.5167,-98.75,76.78,78,0,4.16,clear sky
181,Balotra,IN,25.8333,72.2333,47.88,28,0,9.31,clear sky
182,Thompson,CA,55.7435,-97.8558,8.76,92,40,4.61,scattered clouds
183,Shache,CN,38.4167,77.2406,25.45,41,1,0.76,clear sky
184,Nanortalik,GL,60.1432,-45.2371,23.68,72,100,21.85,overcast clouds
185,Sterling,US,39.0062,-77.4286,62.71,89,20,11.99,few clouds
186,Acapulco,MX,16.8634,-99.8901,78.62,78,40,2.3,scattered clouds
187,Makakilo City,US,21.3469,-158.0858,75.52,83,100,10.36,light rain
188,Manacapuru,BR,-3.2997,-60.6206,74.93,93,78,4.79,broken clouds
189,Kostino,RU,58.9097,53.2691,-1.64,98,99,4.54,overcast clouds
190,Portland,US,45.5234,-122.6762,46.98,76,100,28.77,overcast clouds
191,Carnarvon,AU,-24.8667,113.6333,83.82,66,2,12.39,clear sky
192,Ostrovnoy,RU,68.0531,39.5131,24.1,68,100,24.94,overcast clouds
193,Havre-Saint-Pierre,CA,50.2334,-63.5986,8.6,60,0,10.36,clear sky
194,Cuddapah,IN,14.4667,78.8167,74.64,74,3,5.44,clear sky
195,Caravelas,BR,-17.7125,-39.2481,76.59,87,100,8.86,overcast clouds
196,Sal Rei,CV,16.1833,-22.9167,73.18,76,100,18.1,overcast clouds
197,Chicama,PE,-7.8447,-79.1469,63.14,76,100,5.21,overcast clouds
198,Luderitz,NA,-26.6481,15.1594,61.9,76,0,20.42,clear sky
199,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,55,10.51,light rain
200,Cherskiy,RU,68.75,161.3,-52.1,100,71,3.09,broken clouds
201,Munsingen,DE,48.4113,9.497,48.52,90,100,17.29,overcast clouds
202,Pendleton,US,45.6721,-118.7886,45.21,81,100,10.0,moderate rain
203,Tarsus,TR,36.9188,34.8784,39.58,27,0,6.22,clear sky
204,Kozhva,RU,65.1073,57.0459,-14.55,100,100,1.39,overcast clouds
205,Georgetown,MY,5.4112,100.3354,84.13,74,20,9.22,few clouds
206,Redcliffe,AU,-27.2307,153.0973,81.43,74,75,3.44,broken clouds
207,Muros,ES,42.7762,-9.0603,51.1,95,34,2.28,scattered clouds
208,Ciudad Bolivar,VE,8.1222,-63.5497,75.74,81,99,11.05,overcast clouds
209,Aksu,CN,41.1231,80.2644,24.15,43,11,2.86,few clouds
210,Podporozhye,RU,60.9112,34.1706,1.71,97,87,4.41,overcast clouds
211,Bereda,ES,43.2686,-7.5406,44.58,100,10,1.16,clear sky
212,Zenzeli,RU,45.9241,47.0474,40.59,49,99,14.63,overcast clouds
213,Butaritari,KI,3.0707,172.7902,81.21,72,92,16.55,overcast clouds
214,Itoman,JP,26.1247,127.6694,68.02,49,40,19.57,scattered clouds
215,Mamallapuram,IN,12.6264,80.1722,78.85,64,23,14.54,few clouds
216,Port Elizabeth,ZA,-33.918,25.5701,63.32,90,20,9.22,light rain
217,Coquimbo,CL,-29.9533,-71.3436,62.33,88,100,4.61,overcast clouds
218,Jasper,US,37.2001,-94.3502,44.26,53,100,9.22,overcast clouds
219,Pincher Creek,CA,49.4833,-113.952,28.51,63,0,12.66,clear sky
220,La Ronge,CA,55.1001,-105.2842,10.65,85,75,5.75,broken clouds
221,San Cristobal,VE,7.7669,-72.225,68.18,97,86,0.92,overcast clouds
222,Tambura,SS,5.6,27.4667,72.34,38,3,5.61,clear sky
